LTER SpeciesCode	Scientific Name	Authority	Common Name	"Habit (P=Perennial, A=Annual, Bi=Biennial; Growth Form (G=Grass, F=Forb, SS=Sub Shrub) "	" (C=cool, W=Warm Season)"	Flowering Date	Family	
Amre	Amaranthus retroflexus	L.	redroot (rough) pigweed (amaranth)	AF		Jul-Oct	Amaranthaceae	
Amac	Ambrosia acanthicarpa	Hook.	annual bursage (flatspine burr ragweed)	AF		Aug-Oct	Compositae	
Amps	Ambrosia psilostachya	DC.	western ragweed	PF		Jul-Oct	Compositae	
Amto	Ambrosia tomentosa	Nutt.	skeleton bursage	PF		Jun-Aug	Compositae	
Anpt*	Anemone patens	L.	pasque flower	PF		Apr-Jun	Ranunculaceae	
Anpa	Antennaria parvifolia	Nutt.	small-leaved pussytoes	PF		May-Jul	Compositae	
Armi	Arctium minus	Bernh.	common burdock	BiF		Jul-Sep	Compositae	
Arho	Arenaria hookeri	Nutt. ex. Torr. & Gray	hooker sandwort	PF		Jun-Aug	Caryophyllaceae	
Arin	see Arpo							
Arpo	Argemone polyanthemos	(Fedde) G.B. Ownby	bluestem (crested) pricklypoppy	AF		May-Aug (Sep)	Papaveraceae	
Arbi	Artemisia biennis	Willd.	common sagewart (biennial wormwood)	BiF		Sep-Oct	Compositae	
Arcm	Artemisia campestris	L. ssp. caudata (Michx.) Hall & Clements	common green sagewort	Bif		Aug-Sep	Compositae	
Arca	Artemisia cana	Pursh	silver sagebrush	PS		Aug-Sep	Compositae	
Ardr	Artemisia dracunculus	L.	tarragon sagewort (silky wormwood)	PF		Aug-Sep	Compositae	
Arfi	Artemisia filifolia	Torr.	sand sagebrush	PS		Jun-Sept	Compositae	
Arfr	Artemisia frigida	Willd.	fringed (prairie) sagewort	PSS	CS	Aug-Sep	Compositae	
Arlu	Artemisia ludoviciana	Nutt.	Louisiana (white) sagewort	PF		Aug-Oct	Compositae	
Aspu	Asclepias pumila	(A. Gray) Vail	low milkweed	PF		Jul-Sep	Asclepiadaceae	
Assp	Asclepias speciosa	Torr.	showy milkweed	Pf		May-Aug	Asclepiadaceae	
Asvi	Asclepias viridiflora	Raf.	green milkweed	PF		Jun-Aug	Asclepiadaceae	
Asco	Aster commutatus	(T. & G.) A. Gray	change aster	PF		Jul-Aug	Compositae	
Asfa*	Aster falcatus	Lindl.	white prairie aster	PF		Aug-Oct	Compositae	
Ashe	Aster hesperius	Gray	Siskiyou aster	PF		Aug-Oct	Compositae	
Asta	see Mata							
Asad	Astragalus adsurgens	Pall. var. robustior Hook.	standing milkvetch	PF		Jun-Sep	Leguminosae	
Asbi	Astragalus bisulcatus	(Hook.) Gray	two-grooved milkvetch	PF		Jun-Aug	Leguminosae	
Asce	Astragalus ceramicus	Sheld. var. filifolus (Gray) F. J. Hermann	painted milkvetch	PF		Jun-Jul	Leguminosae	
Ascr	Astragalus crassicarpus	Nutt.	groundplum milkvetch	PF		Mar-May	Leguminosae	
Asdr	Astragalus drummondii	Dougl. ex. Hook.	drummond milkvetch	PF	CS	May-Jun	Leguminosae	
Asgr	Astragalus gracilis	Nutt.	slender milkvetch	PF	CS	May-Oct	Leguminosae	
Asmi	Astragalus missouriensis	Nutt.	Missouri milkvetch	PF	CS	Mar-Jul	Leguminosae	
Asmo	Astragalus mollissimus	Torr.	woolly milkvetch	PF	CS	Apr-Jun	Leguminosae	 
Asox	Astragalus Oxytropis	lcoa code combined for 2 genus	Astragalus or Oxtropis species	PF	CS	Apr-Jun	Leguminosae	
Aspe	Astragalus pectinatus	Dougl. ex. G. Don	tineleaved (narrowleaf) milkvetch	PF		May-Jun	Leguminosae 	
Asse	Astragalus seriocoleucus	A. Gray	foothill milkvetch	PF		May-Jun	Leguminosae 	
Assp	Astragalus spatulatus	Sheld.	spoonleaf milkvetch	PF		May-Jul	Leguminosae 	
Atar	Atriplex argentea	Nutt.	tumbling saltbush	AF		Jul-Sep	Chenopodiaceae	
Atca	Atriplex canescens	(Pursh) Nutt.	fourwing saltbush	PS		May-Aug	Chenopodiaceae	
Atnu	Atriplex nuttallii	S. Wats.	Gardner saltbush	PS		Jun-Aug	Chenopodiaceae	
Atsu	Atriplex subspicata	(Nutt.) Rydb.	spreading saltbush	PF		Jun-Aug	Chenopodiaceae	
Baop	see Piop							
Bice	Bidens cernua	L.	nodding beggarsticks	AF		Aug-Oct	Compositae	
Case	Calylophus serrulatus	(Nutt.) Raven	(crisp petal) evening primrose	PF		May-Sep	Onagraceae	
Cami*	Camelina microcarpa	Andrz. ex DC.	small-seeded false flax	AF		Apr-Jun	Cruciferae	
Cabu**	Capsella bursa-pastoris	(L.) Medic.	shepherd?s purse	AF or BiF		Mar-Nov	Cruciferae	
Cass	Castilleja sessiliflora	Pursh	large flowered Indian paintbrush	PF		Apr-Jun (Sep)	Scrophulariaceae	
Cere	Centaurea repens	L.	Russian knapweed	PF		Jun-Sep	Compositae	
Cela	Ceratoides lanata	(Pursh) Howell	common winter fat	PSS		May-Jul	Chenopodiaceae	
Chal	Chenopodium album	L.	lambsquarters	AF		Jun-Sep	Chenopodiaceae	
