YEAR,MONTH,DATE,SITE,LOCATION,COUNT,ACTIVITY,NOTES
2008,8,07AUG2008,ABUR,ABUR,0,-99999,-99999
2008,8,07AUG2008,MOHK,MOHK,0,-99999,-99999
2008,8,08AUG2008,AQUE,AQUE,0,-99999,-99999
2008,8,11AUG2008,CARP,CARP,0,-99999,-99999
2008,8,12AUG2008,AQUE,AQUE,0,-99999,-99999
2008,8,13AUG2008,NAPL,NAPL,0,-99999,-99999
2008,8,13AUG2008,NAPL,NAPL,0,-99999,-99999
2008,8,14AUG2008,MOHK,MOHK,0,-99999,-99999
2008,8,18AUG2008,CARP,CARP,0,-99999,-99999
2008,8,19AUG2008,MOHK,MOHK,0,-99999,-99999
2008,8,20AUG2008,ABUR,ABUR,0,-99999,-99999
2008,8,20AUG2008,MOHK,MOHK,0,-99999,-99999
2008,8,28AUG2008,MOHK,MOHK,0,-99999,-99999
2008,9,03SEP2008,AQUE,AQUE,0,-99999,-99999
2008,9,04SEP2008,ABUR,ABUR,0,-99999,-99999
2008,9,04SEP2008,MOHK,MOHK,0,-99999,-99999
2008,9,09SEP2008,GOLB,GOLB,0,-99999,-99999
2008,9,09SEP2008,NAPL,NAPL,0,-99999,-99999
2008,9,11SEP2008,GOLB,GOLB,0,-99999,-99999
2008,9,11SEP2008,MOHK,MOHK,0,-99999,-99999
2008,9,15SEP2008,MOHK,MOHK,0,-99999,-99999
2008,9,22SEP2008,MOHK,MOHK,0,-99999,-99999
2008,9,23SEP2008,MOHK,MOHK,0,-99999,-99999
2008,9,26SEP2008,NAPL,NAPL,0,-99999,-99999
2008,9,29SEP2008,MOHK,MOHK,0,-99999,-99999
2008,10,01OCT2008,ABUR,ABUR,0,-99999,-99999
2008,10,02OCT2008,AQUE,AQUE,0,-99999,-99999
2008,10,10OCT2008,NAPL,NAPL,0,-99999,-99999
2008,10,16OCT2008,MOHK,MOHK,0,-99999,-99999
2008,10,22OCT2008,MOHK,MOHK,0,-99999,-99999
2008,10,24OCT2008,CARP,CARP,0,-99999,-99999
2008,10,28OCT2008,AQUE,AQUE,0,-99999,-99999
2008,10,29OCT2008,OTHER,PALOS VERDES,0,-99999,-99999
2008,11,06NOV2008,AQUE,AQUE,2,-99999,"1 AT AQUE, 1 AT TAJIGUAS"
2008,11,06NOV2008,IVEE,DEVEREAUX,1,-99999,-99999
2008,11,07NOV2008,ABUR,ABUR,0,-99999,-99999
