"year","location","season","night","web","trap","recap","Taxa_sppcode","sex","age","reprod","mass","Taxa_genus","Taxa_species","count","Taxa_family","Taxa_order"
1989,"5pgrass",2,1,2,"9","n","spsp","m","a","na","105"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,1,2,"10","n","dior","m","a","na","51"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"29","n","pgfv","m","a","st","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"30","n","pgfv","m","a","st","3"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"42","n","remn","m","a","na","7"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,1,2,"48","n","pgfv","m","j","na","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"58","n","dior","m","a","st","50"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"65","n","pgfv","f","a","na","6.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"68","n","remn","f","a","na","9"," Reithrodontomys"," montanus",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,1,2,"70","n","spsp","f","j","na","74"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,1,2,"78","n","onar","m","a","st","22"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",2,1,2,"83","n","pgfv","m","a","st","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"84","n","dior","f","a","na","37"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"95","n","disp","f","a","na","120"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"106","n","dior","m","a","na","43"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"116","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"127","n","pgfv","m","a","st","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"132","n","dior","m","a","st","53"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,2,"144","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"5","n","dior","f","a","na","50"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"32","n","spsp","f","a","na","90"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",2,1,3,"34","n","pgfv","m","a","st","9"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"50","n","disp","f","a","na","110"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"55","n","dior","m","a","na","31"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"60","n","disp","f","a","na","100"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"62","n","dior","m","a","na","38"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"65","n","dior","f","a","na","49"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"83","n","dior","m","a","na","45"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"92","n","dior","f","a","na","51"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"105","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"106","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"119","n","disp","m","a","na","100"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"132","n","dior","m","a","st","49"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"143","n","dior","f","a","na","49"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,3,"145","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"35","n","dior","m","a","st","56"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"48","n","pgfv","m","a","st","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"58","n","pgfv","m","a","na","5.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"69","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"71","n","dior","f","a","na","51"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"72","n","pgfv","m","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"82","n","pgfv","f","a","na","6.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"90","n","pgfv","m","a","st","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"92","n","dior","f","a","na","47"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"95","n","pgfv","m","a","na","6.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"119","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"120","n","pgfv","m","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",2,1,5,"140","n","pgfv","f","j","na","4"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
