"SITE","DATE","TRAPDAY","TAG","SPECIES","FATE","SEX","TESTES","VAGINA","NIPPLES","PREGNANT","MASS","STATION","CAPNUM","SEASON","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","count"
"T1","03/28/01",3,"G321",2,1,"2",NA,"1","1",NA,"15","43",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","08/04/90",5,"A322",4,1,"1","3","0","0","0","63","14",1,"Summer","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G322",4,1,"1","2",NA,NA,NA,"53","38",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",5,"A323",4,1,"1","2","0","0","0","55","22",1,"Summer","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G323",2,1,"1","1",NA,NA,NA,"12","18",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",3,"G324",4,1,"1","1",NA,NA,NA,"52","11",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",5,"A325",4,1,"1","1","0","0","0","25","23",1,"Summer","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","03/28/01",3,"G325",2,1,"2",NA,"1","1",NA,"15","4",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","03/28/01",3,"G326",4,1,"2",NA,"1","2",NA,"47","7",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","03/28/01",3,"G327",4,1,"2",NA,"1","1",NA,"41","20",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","03/28/01",3,"G328",2,1,"1","1",NA,NA,NA,"19","11",1,"Spring","Rodentia","Muridae","Mus","musculus",1
