"year","block","fire","trt","plot","spnum","Taxa_genus","Taxa_species","cover","Taxa_kingdom","Taxa_family"
2006,"Marheya",1,2,5,5,"Panicum","coloratum",1.5,"Plantae","Poaceae"
2006,"Marheya",1,2,5,8,"Urochloa","mosambicensis",2,"Plantae",NA
2006,"Marheya",1,2,5,10,"Aristada","congesta barbicollis",0.5,"Plantae",NA
2006,"Marheya",1,2,5,14,"Eragrostis","nidensis",1,"Plantae","Poaceae"
2006,"Marheya",1,2,5,23,"Tragus","berteronianus",0.25,"Plantae","Poaceae"
2006,"Marheya",1,2,5,30,"Limeum","teracarpum",0.25,"Plantae",NA
2006,"Marheya",1,2,5,43,"Chamaecrista","mimosoides",1,"Plantae",NA
2006,"Marheya",1,2,5,47,"Commelina","erecta",1,"Plantae","Commelinaceae"
2006,"Marheya",1,2,5,49,"Corchorus","asplenifolius",0.75,"Plantae",NA
2006,"Marheya",1,2,5,57,"Crotalaria","virgulata grantiana",0.5,"Plantae",NA
2006,"Marheya",1,2,5,114,"Ipomoea","plebia africana",0.25,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,5,130,"Vernonia","fastigata",1.75,"Plantae",NA
2006,"Marheya",1,2,6,1,"Bothriochloa","radicans",86.25,"Plantae","Poaceae"
2006,"Marheya",1,2,6,5,"Panicum","coloratum",3.5,"Plantae","Poaceae"
2006,"Marheya",1,2,6,8,"Urochloa","mosambicensis",0.25,"Plantae",NA
2006,"Marheya",1,2,6,14,"Eragrostis","nidensis",0.5,"Plantae","Poaceae"
2006,"Marheya",1,2,6,43,"Chamaecrista","mimosoides",8.5,"Plantae",NA
2006,"Marheya",1,2,6,57,"Crotalaria","virgulata grantiana",3.25,"Plantae",NA
2006,"Marheya",1,2,6,85,"Ledebouria","revoluta",0.5,"Plantae",NA
2006,"Marheya",1,2,6,118,"Tephrosia","purpurea leptostachya",3.75,"Plantae",NA
2006,"Marheya",1,2,7,1,"Bothriochloa","radicans",30.5,"Plantae","Poaceae"
2006,"Marheya",1,2,7,5,"Panicum","coloratum",21.25,"Plantae","Poaceae"
2006,"Marheya",1,2,7,6,"Panicum","deustum",1.25,"Plantae","Poaceae"
2006,"Marheya",1,2,7,8,"Urochloa","mosambicensis",43.25,"Plantae",NA
2006,"Marheya",1,2,7,11,"Chloris","virgatum",0.5,"Plantae","Poaceae"
2006,"Marheya",1,2,7,14,"Eragrostis","nidensis",6.5,"Plantae","Poaceae"
2006,"Marheya",1,2,7,23,"Tragus","berteronianus",0.5,"Plantae","Poaceae"
2006,"Marheya",1,2,7,31,"Indigofera","vicioides",4.5,"Plantae",NA
2006,"Marheya",1,2,7,47,"Commelina","erecta",1.5,"Plantae","Commelinaceae"
2006,"Marheya",1,2,7,49,"Corchorus","asplenifolius",0.25,"Plantae",NA
2006,"Marheya",1,2,7,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",5.5,"Plantae",NA
2006,"Marheya",1,2,7,57,"Crotalaria","virgulata grantiana",3.75,"Plantae",NA
2006,"Marheya",1,2,7,71,"Heliotropium","steudneri",17.75,"Plantae","Boraginaceae"
2006,"Marheya",1,2,7,72,"Hermannia","sp. (cf. glanduligera)",0.25,"Plantae",NA
2006,"Marheya",1,2,7,95,"Phyllanthus","burchellii",0.25,"Plantae",NA
2006,"Marheya",1,2,7,96,"Phyllanthus","maderaspatensis",2,"Plantae",NA
2006,"Marheya",1,2,7,101,"Gisekia","c.f. africana",0.5,"Plantae",NA
2006,"Marheya",1,2,7,114,"Ipomoea","plebia africana",2,"Plantae","Convolvulaceae"
2006,"Marheya",3,1,1,1,"Bothriochloa","radicans",18.25,"Plantae","Poaceae"
2006,"Marheya",3,1,1,4,"Themeda","triandra",88.75,"Plantae",NA
2006,"Marheya",3,1,1,5,"Panicum","coloratum",46.75,"Plantae","Poaceae"
2006,"Marheya",3,1,1,6,"Panicum","deustum",0.25,"Plantae","Poaceae"
2006,"Marheya",3,1,1,8,"Urochloa","mosambicensis",11.25,"Plantae",NA
2006,"Marheya",3,1,1,10,"Aristada","congesta barbicollis",0.75,"Plantae",NA
2006,"Marheya",3,1,1,14,"Eragrostis","nidensis",8.25,"Plantae","Poaceae"
2006,"Marheya",3,1,1,19,"Heteropogon","contortus",7.5,"Plantae",NA
2006,"Marheya",3,1,1,20,"Schmidtia","pappophoroides",0.75,"Plantae",NA
2006,"Marheya",3,1,1,31,"Indigofera","vicioides",2.25,"Plantae",NA
2006,"Marheya",3,1,1,43,"Chamaecrista","mimosoides",1.75,"Plantae",NA
2006,"Marheya",3,1,1,49,"Corchorus","asplenifolius",0.75,"Plantae",NA
2006,"Marheya",3,1,1,50,"Talinum","caffrum",0.25,"Plantae",NA
2006,"Marheya",3,1,1,56,"Indigofera","rhytidocarpa subsp. Rhytidocarpa",0.5,"Plantae",NA
2006,"Marheya",3,1,1,63,"Chamaesyce","inaequilatera",3.5,"Plantae","Euphorbiaceae"
2006,"Marheya",3,1,1,71,"Heliotropium","steudneri",5.25,"Plantae","Boraginaceae"
2006,"Marheya",3,1,1,95,"Phyllanthus","burchellii",1.25,"Plantae",NA
2006,"Marheya",3,1,1,96,"Phyllanthus","maderaspatensis",1,"Plantae",NA
2006,"Marheya",3,1,1,111,"Hibiscus","micranthus",0.25,"Plantae",NA
2006,"Marheya",3,1,1,112,"Solanum","panduriforme",1.75,"Plantae","Solanaceae"
2006,"Marheya",3,1,1,114,"Ipomoea","plebia africana",11.25,"Plantae","Convolvulaceae"
2006,"Marheya",3,1,1,115,"Acalypha","villicaulis",0.25,"Plantae","Euphorbiaceae"
2006,"Marheya",3,1,1,119,"Tephrosia","semiglabra",18.75,"Plantae",NA
2006,"Marheya",3,1,1,153,"Melhania","",0.5,"Plantae",NA
2006,"Marheya",3,1,2,1,"Bothriochloa","radicans",68.75,"Plantae","Poaceae"
2006,"Marheya",3,1,2,5,"Panicum","coloratum",7,"Plantae","Poaceae"
2006,"Marheya",3,1,2,8,"Urochloa","mosambicensis",48,"Plantae",NA
2006,"Marheya",3,1,2,14,"Eragrostis","nidensis",0.25,"Plantae","Poaceae"
2006,"Marheya",3,1,2,43,"Chamaecrista","mimosoides",5.5,"Plantae",NA
2006,"Marheya",3,1,2,57,"Crotalaria","virgulata grantiana",0.5,"Plantae",NA
2006,"Marheya",3,1,2,79,"Linum","thunbergii",10.25,"Plantae","Linaceae"
2006,"Marheya",3,1,2,87,"Leucas","glabrata",0.5,"Plantae",NA
2006,"Marheya",3,1,2,95,"Phyllanthus","burchellii",0.5,"Plantae",NA
2006,"Marheya",3,1,2,96,"Phyllanthus","maderaspatensis",1.5,"Plantae",NA
2006,"Marheya",3,1,2,97,"Phyllanthus","nummulariifolius",0.5,"Plantae",NA
2006,"Marheya",3,1,2,110,"Sida","dregei",1,"Plantae",NA
2006,"Marheya",3,1,2,114,"Ipomoea","plebia africana",0.25,"Plantae","Convolvulaceae"
2006,"Marheya",3,1,2,115,"Acalypha","villicaulis",0.25,"Plantae","Euphorbiaceae"
2006,"Marheya",3,1,2,118,"Tephrosia","purpurea leptostachya",13.75,"Plantae",NA
2006,"Marheya",3,1,2,119,"Tephrosia","semiglabra",0.25,"Plantae",NA
2006,"Marheya",3,1,2,153,"Melhania","",1.75,"Plantae",NA
2006,"Marheya",3,1,3,1,"Bothriochloa","radicans",61.25,"Plantae","Poaceae"
2006,"Marheya",3,1,3,5,"Panicum","coloratum",1.75,"Plantae","Poaceae"
2006,"Marheya",3,1,3,8,"Urochloa","mosambicensis",55,"Plantae",NA
2006,"Marheya",3,1,3,13,"Enneapogon","cenchroides",1.5,"Plantae","Poaceae"
2006,"Marheya",3,1,3,14,"Eragrostis","nidensis",12.75,"Plantae","Poaceae"
2006,"Marheya",3,1,3,30,"Limeum","teracarpum",7.75,"Plantae",NA
2006,"Marheya",3,1,3,31,"Indigofera","vicioides",0.25,"Plantae",NA
2006,"Marheya",3,1,3,49,"Corchorus","asplenifolius",0.5,"Plantae",NA
2006,"Marheya",3,1,3,57,"Crotalaria","virgulata grantiana",17.75,"Plantae",NA
2006,"Marheya",3,1,3,76,"Indigastrum","parviflorum",1.25,"Plantae",NA
2006,"Marheya",3,1,3,95,"Phyllanthus","burchellii",0.5,"Plantae",NA
2006,"Marheya",3,1,3,96,"Phyllanthus","maderaspatensis",1.5,"Plantae",NA
2006,"Marheya",3,1,3,114,"Ipomoea","plebia africana",5,"Plantae","Convolvulaceae"
2006,"Marheya",3,1,3,118,"Tephrosia","purpurea leptostachya",3.75,"Plantae",NA
2006,"Marheya",3,1,4,1,"Bothriochloa","radicans",48.75,"Plantae","Poaceae"
2006,"Marheya",3,1,4,4,"Themeda","triandra",7.5,"Plantae",NA
2006,"Marheya",3,1,4,5,"Panicum","coloratum",8.25,"Plantae","Poaceae"
2006,"Marheya",3,1,4,6,"Panicum","deustum",0.5,"Plantae","Poaceae"
2006,"Marheya",3,1,4,8,"Urochloa","mosambicensis",32.75,"Plantae",NA
2006,"Marheya",3,1,4,10,"Aristada","congesta barbicollis",9,"Plantae",NA
2006,"Marheya",3,1,4,11,"Chloris","virgatum",0.25,"Plantae","Poaceae"
2006,"Marheya",3,1,4,13,"Enneapogon","cenchroides",3.5,"Plantae","Poaceae"
2006,"Marheya",3,1,4,14,"Eragrostis","nidensis",5,"Plantae","Poaceae"
2006,"Marheya",3,1,4,23,"Tragus","berteronianus",3.75,"Plantae","Poaceae"
2006,"Marheya",3,1,4,30,"Limeum","teracarpum",0.75,"Plantae",NA
2006,"Marheya",3,1,4,31,"Indigofera","vicioides",10.75,"Plantae",NA
2006,"Marheya",3,1,4,95,"Phyllanthus","burchellii",1.5,"Plantae",NA
2006,"Marheya",3,1,4,96,"Phyllanthus","maderaspatensis",1,"Plantae",NA
2006,"Marheya",3,1,4,101,"Gisekia","c.f. africana",0.25,"Plantae",NA
2006,"Marheya",3,1,4,115,"Acalypha","villicaulis",0.25,"Plantae","Euphorbiaceae"
2006,"Marheya",3,1,4,119,"Tephrosia","semiglabra",11.5,"Plantae",NA
2006,"Marheya",3,1,4,127,"Tragia","rupestris",1,"Plantae","Euphorbiaceae"
2006,"Marheya",3,1,4,140,"Crotalaria","sphaerocarpa",17.5,"Plantae",NA
2006,"Marheya",3,1,5,1,"Bothriochloa","radicans",97.25,"Plantae","Poaceae"
2006,"Marheya",3,1,5,4,"Themeda","triandra",0.25,"Plantae",NA
2006,"Marheya",3,1,5,6,"Panicum","deustum",1.25,"Plantae","Poaceae"
2006,"Marheya",3,1,5,7,"Panicum","maximum",0.5,"Plantae","Poaceae"
2006,"Marheya",3,1,5,8,"Urochloa","mosambicensis",7.5,"Plantae",NA
